,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
76,2021-10-21,944.449779872746,825.1330247222963,1035.505512952525,944.449779872746,944.449779872746,-15.316795300305373,-15.316795300305373,-15.316795300305373,-15.316795300305373,-15.316795300305373,-15.316795300305373,0.0,0.0,0.0,929.1329845724407
77,2021-10-22,947.7425156419703,810.194726731564,1031.717935187727,947.7425156419703,947.7425156419703,-19.72381236561232,-19.72381236561232,-19.72381236561232,-19.72381236561232,-19.72381236561232,-19.72381236561232,0.0,0.0,0.0,928.018703276358
78,2021-10-25,957.620722949643,841.6530659068343,1066.1486649006122,957.620722949643,957.620722949643,-3.647595290414876,-3.647595290414876,-3.647595290414876,-3.647595290414876,-3.647595290414876,-3.647595290414876,0.0,0.0,0.0,953.9731276592281
79,2021-10-26,960.9134587188672,838.2669956310604,1058.3549788534638,960.9134587188672,960.9134587188672,-8.93925164528432,-8.93925164528432,-8.93925164528432,-8.93925164528432,-8.93925164528432,-8.93925164528432,0.0,0.0,0.0,951.9742070735829
80,2021-10-27,964.2061944880915,836.8877911267177,1067.797599112542,964.2061944880915,964.2061944880915,-6.86349716839056,-6.86349716839056,-6.86349716839056,-6.86349716839056,-6.86349716839056,-6.86349716839056,0.0,0.0,0.0,957.3426973197008
81,2021-10-28,967.4989297192164,833.0998150399278,1060.6269884567118,967.4989297192164,967.4989297192164,-15.31679530031608,-15.31679530031608,-15.31679530031608,-15.31679530031608,-15.31679530031608,-15.31679530031608,0.0,0.0,0.0,952.1821344189003
82,2021-10-29,970.7916649503413,838.4224142742083,1067.3524419601144,970.7916649503413,970.7916649503413,-19.723812365589374,-19.723812365589374,-19.723812365589374,-19.723812365589374,-19.723812365589374,-19.723812365589374,0.0,0.0,0.0,951.0678525847519
83,2021-11-01,980.669870643716,870.3425089422269,1093.0800317583848,980.669870643716,980.669870643716,-3.6475952904423834,-3.6475952904423834,-3.6475952904423834,-3.6475952904423834,-3.6475952904423834,-3.6475952904423834,0.0,0.0,0.0,977.0222753532736
84,2021-11-02,983.9626058748411,863.7696855985781,1091.9864874691593,983.9626058748411,983.9626058748411,-8.939251645299159,-8.939251645299159,-8.939251645299159,-8.939251645299159,-8.939251645299159,-8.939251645299159,0.0,0.0,0.0,975.023354229542
85,2021-11-03,987.255341105966,871.983383582855,1085.6884364567036,987.255341105966,987.255341105966,-6.863497168398809,-6.863497168398809,-6.863497168398809,-6.863497168398809,-6.863497168398809,-6.863497168398809,0.0,0.0,0.0,980.3918439375672
86,2021-11-04,990.548076337091,855.0020659193478,1085.7897391646236,990.548076337091,990.548076337091,-15.31679530025803,-15.31679530025803,-15.31679530025803,-15.31679530025803,-15.31679530025803,-15.31679530025803,0.0,0.0,0.0,975.2312810368329
87,2021-11-05,993.8408115682158,855.7546862443318,1085.9394604698061,993.8408115682158,993.8408115682158,-19.72381236556643,-19.72381236556643,-19.72381236556643,-19.72381236556643,-19.72381236556643,-19.72381236556643,0.0,0.0,0.0,974.1169992026494
88,2021-11-08,1003.7190172615905,887.8931358648127,1114.8597621887377,1003.7190172615905,1003.7190172615905,-3.647595290438161,-3.647595290438161,-3.647595290438161,-3.647595290438161,-3.647595290438161,-3.647595290438161,0.0,0.0,0.0,1000.0714219711523
89,2021-11-09,1006.0203015158073,883.9281936344805,1111.5568375265823,1006.0203015158073,1006.0203015158073,-8.939251645285077,-8.939251645285077,-8.939251645285077,-8.939251645285077,-8.939251645285077,-8.939251645285077,0.0,0.0,0.0,997.0810498705223
90,2021-11-10,1008.3215857700244,888.9187825295649,1119.9597662478313,1008.3215857700244,1008.3215857700244,-6.863497168366784,-6.863497168366784,-6.863497168366784,-6.863497168366784,-6.863497168366784,-6.863497168366784,0.0,0.0,0.0,1001.4580886016577
91,2021-11-11,1010.6228700242413,885.9456402229786,1106.6290957413676,1010.6228700242413,1010.6228700242413,-15.316795300276539,-15.316795300276539,-15.316795300276539,-15.316795300276539,-15.316795300276539,-15.316795300276539,0.0,0.0,0.0,995.3060747239647
92,2021-11-12,1012.9241542784582,887.5502436366005,1111.3119469546684,1012.9241542784582,1012.9241542784582,-19.723812365543488,-19.723812365543488,-19.723812365543488,-19.723812365543488,-19.723812365543488,-19.723812365543488,0.0,0.0,0.0,993.2003419129147
93,2021-11-15,1019.8280070411091,909.425951550251,1130.4794707551082,1019.8280070411091,1019.8280070411091,-3.647595290353953,-3.647595290353953,-3.647595290353953,-3.647595290353953,-3.647595290353953,-3.647595290353953,0.0,0.0,0.0,1016.1804117507552
94,2021-11-16,1022.1292912953261,903.343984077214,1124.3589138211826,1022.1292912953261,1022.1292912953261,-8.939251645271,-8.939251645271,-8.939251645271,-8.939251645271,-8.939251645271,-8.939251645271,0.0,0.0,0.0,1013.190039650055
95,2021-11-17,1024.4305755495432,906.9939570281539,1131.4418804051631,1024.4305755495432,1024.4305755495432,-6.863497168395412,-6.863497168395412,-6.863497168395412,-6.863497168395412,-6.863497168395412,-6.863497168395412,0.0,0.0,0.0,1017.5670783811478
96,2021-11-18,1026.73185980376,902.9120809807392,1126.2986041318918,1026.73185980376,1026.73185980376,-15.316795300279452,-15.316795300279452,-15.316795300279452,-15.316795300279452,-15.316795300279452,-15.316795300279452,0.0,0.0,0.0,1011.4150645034806
97,2021-11-19,1027.7121865172933,903.459438427962,1121.7815556637736,1027.7121865172933,1027.7121865172933,-19.723812365526868,-19.723812365526868,-19.723812365526868,-19.723812365526868,-19.723812365526868,-19.723812365526868,0.0,0.0,0.0,1007.9883741517664
98,2021-11-22,1030.6531666578933,918.1957679646534,1132.7936726573819,1030.6531666578933,1030.6531666578933,-3.647595290349728,-3.647595290349728,-3.647595290349728,-3.647595290349728,-3.647595290349728,-3.647595290349728,0.0,0.0,0.0,1027.0055713675436
99,2021-11-23,1031.6334933714268,907.5086934110813,1134.058836797863,1031.6334933714268,1031.6334933714268,-8.93925164525692,-8.93925164525692,-8.93925164525692,-8.93925164525692,-8.93925164525692,-8.93925164525692,0.0,0.0,0.0,1022.6942417261698
100,2021-11-24,1032.61382008496,919.3066452588224,1142.0666772597863,1032.61382008496,1032.61382008496,-6.863497168383293,-6.863497168383293,-6.863497168383293,-6.863497168383293,-6.863497168383293,-6.863497168383293,0.0,0.0,0.0,1025.7503229165768
101,2021-11-26,1034.5744735120268,896.2439915887978,1123.3002510458023,1034.5744735120268,1034.5744735120268,-19.72381236562236,-19.72381236562236,-19.72381236562236,-19.72381236562236,-19.72381236562236,-19.72381236562236,0.0,0.0,0.0,1014.8506611464044
102,2021-11-29,1037.5154536526268,919.7062060803967,1148.4971185725622,1037.5154536526268,1037.5154536526268,-3.6475952904089692,-3.6475952904089692,-3.6475952904089692,-3.6475952904089692,-3.6475952904089692,-3.6475952904089692,0.0,0.0,0.0,1033.8678583622177
103,2021-11-30,1038.4957803661603,912.8707501687306,1136.70559462174,1038.4957803661603,1038.4957803661603,-8.939251645271758,-8.939251645271758,-8.939251645271758,-8.939251645271758,-8.939251645271758,-8.939251645271758,0.0,0.0,0.0,1029.5565287208885
104,2021-12-01,1038.3059091778441,930.6084868413892,1143.6004938643487,1038.3059091778441,1038.3059091778441,-6.863497168392018,-6.863497168392018,-6.863497168392018,-6.863497168392018,-6.863497168392018,-6.863497168392018,0.0,0.0,0.0,1031.442412009452
105,2021-12-02,1038.1160379895282,923.7616357473588,1135.3572254947358,1038.1160379895282,1038.1160379895282,-15.316795300316471,-15.316795300316471,-15.316795300316471,-15.316795300316471,-15.316795300316471,-15.316795300316471,0.0,0.0,0.0,1022.7992426892117
106,2021-12-03,1037.9261668012123,909.7357231399233,1133.4000391649954,1037.9261668012123,1037.9261668012123,-19.72381236560574,-19.72381236560574,-19.72381236560574,-19.72381236560574,-19.72381236560574,-19.72381236560574,0.0,0.0,0.0,1018.2023544356066
107,2021-12-06,1037.3565532362645,920.7250550501986,1145.102206773014,1037.3565532362645,1037.3565532362645,-3.647595290404747,-3.647595290404747,-3.647595290404747,-3.647595290404747,-3.647595290404747,-3.647595290404747,0.0,0.0,0.0,1033.7089579458598
